#nucleus-nld-mass-strength-omp for 168Ho-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 7.94008E-09 0.00000E+00 2.20424E-16
2.00000E-03 6.46226E-13 7.93951E-09 3.24829E-20 1.76350E-15
5.00000E-03 1.61557E-12 7.93779E-09 1.26886E-18 2.75597E-14
1.00000E-02 3.23114E-12 7.93493E-09 2.03018E-17 2.20544E-13
2.00000E-02 6.46234E-12 7.92919E-09 3.24833E-16 1.76541E-12
5.00000E-02 1.61569E-11 7.91180E-09 1.26896E-14 2.76343E-11
1.00000E-01 3.23213E-11 7.88234E-09 2.03081E-13 2.21734E-10
2.00000E-01 6.47027E-11 7.82184E-09 3.25231E-12 1.78435E-09
3.00000E-01 9.72046E-11 7.75964E-09 1.64904E-11 6.05730E-09
4.00000E-01 1.29888E-10 7.69625E-09 5.22310E-11 1.44410E-08
5.00000E-01 1.62814E-10 7.63215E-09 1.27874E-10 2.83671E-08
6.00000E-01 1.96046E-10 7.56784E-09 2.66067E-10 4.92991E-08
7.00000E-01 2.29647E-10 7.50381E-09 4.94919E-10 7.87335E-08
8.00000E-01 2.63682E-10 7.44057E-09 8.48264E-10 1.18202E-07
9.00000E-01 2.98220E-10 7.37862E-09 1.36598E-09 1.69272E-07
1.00000E+00 3.33329E-10 7.31846E-09 2.09437E-09 2.33553E-07
1.10000E+00 3.69080E-10 7.26061E-09 3.08659E-09 3.12696E-07
1.20000E+00 4.05549E-10 7.20558E-09 4.40319E-09 4.08398E-07
1.30000E+00 4.42813E-10 7.15390E-09 6.11266E-09 5.22409E-07
1.40000E+00 4.80952E-10 7.10611E-09 8.29212E-09 6.56534E-07
1.50000E+00 5.20051E-10 7.06275E-09 1.10281E-08 8.12642E-07
1.60000E+00 5.60199E-10 7.02437E-09 1.44172E-08 9.92669E-07
1.70000E+00 6.01489E-10 6.99154E-09 1.85675E-08 1.19863E-06
1.80000E+00 6.44020E-10 6.96485E-09 2.35992E-08 1.43261E-06
1.90000E+00 6.87896E-10 6.94488E-09 2.96458E-08 1.69679E-06
2.00000E+00 7.33226E-10 6.93224E-09 3.68560E-08 1.99348E-06
2.20000E+00 8.28724E-10 6.93149E-09 5.54444E-08 2.69405E-06
2.40000E+00 9.31537E-10 6.96785E-09 8.09122E-08 3.55504E-06
2.60000E+00 1.04282E-09 7.04689E-09 1.15162E-07 4.59953E-06
2.80000E+00 1.16390E-09 7.17458E-09 1.60535E-07 5.85345E-06
3.00000E+00 1.29627E-09 7.35735E-09 2.19907E-07 7.34613E-06
3.20000E+00 1.44165E-09 7.60214E-09 2.96817E-07 9.11094E-06
3.40000E+00 1.60199E-09 7.91648E-09 3.95620E-07 1.11861E-05
3.60000E+00 1.77954E-09 8.30857E-09 5.21669E-07 1.36155E-05
3.80000E+00 1.97681E-09 8.78736E-09 6.81548E-07 1.64499E-05
4.00000E+00 2.19666E-09 9.36270E-09 8.83330E-07 1.97479E-05
4.50000E+00 2.86636E-09 1.12971E-08 1.64115E-06 3.04953E-05
5.00000E+00 3.75152E-09 1.41083E-08 2.94644E-06 4.60043E-05
5.50000E+00 4.89327E-09 1.80603E-08 5.11526E-06 6.83466E-05
6.00000E+00 6.25311E-09 2.38784E-08 8.48652E-06 1.00590E-04
6.50000E+00 7.58549E-09 3.26753E-08 1.30889E-05 1.47303E-04
7.00000E+00 8.38167E-09 4.43128E-08 1.80636E-05 2.15332E-04
7.50000E+00 8.19802E-09 5.97566E-08 2.17307E-05 3.15015E-04
8.00000E+00 7.15515E-09 8.03712E-08 2.30180E-05 4.62105E-04
8.50000E+00 5.78850E-09 1.08119E-07 2.23359E-05 6.80867E-04
9.00000E+00 4.52026E-09 1.45876E-07 2.07048E-05 1.00912E-03
9.50000E+00 3.50223E-09 1.97928E-07 1.88667E-05 1.50651E-03
1.00000E+01 2.73138E-09 2.70775E-07 1.71618E-05 2.26820E-03
1.05000E+01 2.15759E-09 3.74373E-07 1.56934E-05 3.44676E-03
1.10000E+01 1.72958E-09 5.23929E-07 1.44644E-05 5.28518E-03
1.15000E+01 1.40689E-09 7.41865E-07 1.34442E-05 8.15658E-03
1.20000E+01 1.16019E-09 1.05742E-06 1.25965E-05 1.25759E-02
1.25000E+01 9.68759E-10 1.49484E-06 1.18885E-05 1.90578E-02
1.30000E+01 8.18066E-10 2.03038E-06 1.12927E-05 2.75656E-02
1.35000E+01 6.97814E-10 2.52019E-06 1.07875E-05 3.65699E-02
1.40000E+01 6.00641E-10 2.72819E-06 1.03557E-05 4.31002E-02
1.45000E+01 5.21210E-10 2.56570E-06 9.98381E-06 4.51492E-02
1.50000E+01 4.55595E-10 2.18849E-06 9.66124E-06 4.34302E-02
1.55000E+01 4.00874E-10 1.78410E-06 9.37957E-06 3.99283E-02
1.60000E+01 3.54838E-10 1.44007E-06 9.13207E-06 3.61283E-02
1.65000E+01 3.15798E-10 1.17129E-06 8.91336E-06 3.27020E-02
1.70000E+01 2.82451E-10 9.66542E-07 8.71906E-06 2.98337E-02
1.75000E+01 2.53775E-10 8.10521E-07 8.54560E-06 2.75044E-02
1.80000E+01 2.28964E-10 6.90307E-07 8.39004E-06 2.56334E-02
1.85000E+01 2.07375E-10 5.96282E-07 8.24994E-06 2.41339E-02
1.90000E+01 1.88491E-10 5.21561E-07 8.12328E-06 2.29303E-02
1.95000E+01 1.71894E-10 4.61255E-07 8.00835E-06 2.19616E-02
2.00000E+01 1.57240E-10 4.11875E-07 7.90372E-06 2.11799E-02
2.10000E+01 1.32683E-10 3.36488E-07 7.72063E-06 2.00368E-02
2.20000E+01 1.13091E-10 2.82209E-07 7.56619E-06 1.92904E-02
2.30000E+01 9.72512E-11 2.41607E-07 7.43461E-06 1.88092E-02
2.40000E+01 8.42921E-11 2.10266E-07 7.32151E-06 1.85082E-02
2.50000E+01 7.35780E-11 1.85432E-07 7.22351E-06 1.83297E-02
2.60000E+01 6.46362E-11 1.65320E-07 7.13798E-06 1.82568E-02
2.70000E+01 5.71097E-11 1.48725E-07 7.06287E-06 1.83931E-02
2.80000E+01 5.07257E-11 1.34815E-07 6.99652E-06 1.85948E-02
2.90000E+01 4.52725E-11 1.22994E-07 6.93759E-06 1.88477E-02
3.00000E+01 4.05845E-11 1.12830E-07 6.88500E-06 1.91412E-02
3.10000E+01 3.65304E-11 1.04000E-07 6.83785E-06 1.94669E-02
3.20000E+01 3.30055E-11 9.62586E-08 6.79542E-06 1.98184E-02
3.30000E+01 2.99252E-11 8.94177E-08 6.75709E-06 2.01904E-02
#nucleus-nld-mass-strength-omp for 168Ho-1-1-1-2
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 7.94008E-09 0.00000E+00 2.20424E-16
2.00000E-03 6.46226E-13 7.93951E-09 3.24829E-20 1.76350E-15
5.00000E-03 1.61557E-12 7.93779E-09 1.26886E-18 2.75597E-14
1.00000E-02 3.23114E-12 7.93493E-09 2.03018E-17 2.20544E-13
2.00000E-02 6.46234E-12 7.92919E-09 3.24833E-16 1.76541E-12
