#ZVView-data-copy:  21-Dec-2022 12:58:22
#=======================================
#
#name:   JENDL-5: HO-166(N,G)HO-167
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  715
#data...
#            X            Y
#          MeV        barns
         1e-11      289.155 
   1.10304e-11      275.319 
   1.21669e-11      262.145 
   1.34206e-11      249.601 
   1.48034e-11      237.657 
   1.63287e-11      226.285 
   1.80111e-11      215.457 
   1.98669e-11      205.147 
   2.19139e-11      195.331 
   2.41719e-11      185.984 
   2.66625e-11      177.085 
   2.94097e-11      168.611 
     3.244e-11      160.543 
   3.57825e-11      152.861 
   3.94694e-11      145.546 
   4.35362e-11      138.582 
   4.80221e-11       131.95 
   5.29701e-11      125.636 
    5.8428e-11      119.625 
   6.44483e-11        113.9 
   7.10888e-11       108.45 
   7.84136e-11      103.261 
   8.64931e-11      98.3197 
   9.54051e-11       93.615 
   1.05235e-10      89.1354 
   1.16078e-10      84.8702 
   1.28039e-10      80.8091 
   1.41231e-10      76.9423 
   1.55784e-10      73.2606 
   1.71835e-10       69.755 
    1.8954e-10      66.4171 
    2.0907e-10       63.239 
   2.30612e-10       60.213 
   2.54374e-10      57.3317 
   2.80584e-10      54.5884 
   3.09494e-10      51.9763 
   3.41383e-10      49.4891 
   3.76558e-10      47.1211 
   4.15358e-10      44.8663 
   4.58155e-10      42.7194 
   5.05362e-10      40.6752 
   5.57433e-10      38.7289 
   6.14869e-10      36.8757 
   6.78223e-10      35.1111 
   7.48105e-10       33.431 
   8.25188e-10      31.8313 
   9.10213e-10      30.3082 
      1.004e-9      28.8579 
    1.10745e-9       27.477 
    1.22155e-9      26.1622 
    1.34742e-9      24.9103 
    1.48625e-9      23.7184 
    1.63939e-9      22.5834 
    1.80831e-9      21.5028 
    1.99463e-9      20.4738 
    2.20016e-9      19.4942 
    2.42685e-9      18.5613 
    2.67691e-9      17.6732 
    2.95273e-9      16.8275 
    3.25697e-9      16.0223 
    3.59256e-9      15.2557 
    3.96272e-9      14.5259 
    4.37103e-9      13.8311 
    4.82141e-9      13.1697 
    5.31819e-9      12.5403 
    5.86616e-9      11.9412 
    6.47059e-9      11.3708 
     7.1373e-9      10.8276 
    7.87271e-9        10.31 
    8.68389e-9      9.81693 
    9.57865e-9      9.34725 
    1.05656e-8      8.90009 
    1.16543e-8      8.47436 
    1.28551e-8      8.06904 
    1.41796e-8      7.68306 
    1.56406e-8      7.31536 
    1.72522e-8       6.9651 
    1.90298e-8      6.63157 
    2.09906e-8      6.31396 
    2.31534e-8      6.01156 
    2.52419e-8       5.7577 
       2.53e-8      5.75109 
    2.79068e-8      5.47656 
    3.07823e-8      5.21484 
     3.3954e-8      4.96535 
    3.74525e-8      4.72774 
    4.13115e-8      4.50111 
    4.55681e-8       4.2854 
    5.02633e-8      4.08036 
    5.54423e-8       3.8853 
    6.11549e-8      3.69951 
    6.74561e-8      3.52242 
    7.44066e-8      3.35426 
    8.26521e-8      3.18218 
    9.11684e-8      3.02965 
    1.00562e-7      2.88475 
    1.10924e-7      2.74679 
     1.2321e-7      2.60645 
    1.35905e-7      2.48155 
    1.50966e-7      2.35491 
    1.67687e-7      2.23396 
    1.84965e-7      2.12704 
    2.04024e-7      2.02529 
    2.25046e-7       1.9284 
    2.51736e-7      1.82336 
    2.75742e-7      1.74229 
    3.04154e-7      1.65907 
    3.37843e-7      1.57375 
    3.72653e-7       1.4986 
     4.1105e-7      1.42688 
    4.53404e-7      1.35855 
    5.10755e-7      1.27989 
    5.59435e-7      1.22339 
    6.12785e-7      1.16888 
    6.80659e-7      1.10871 
     7.4557e-7      1.05955 
     8.1663e-7       1.0124 
    8.94508e-7     0.967233 
    9.93586e-7     0.917929 
    1.08072e-6     0.879846 
    1.20889e-6     0.832042 
    1.35226e-6     0.786586 
    1.48122e-6     0.751764 
    1.61111e-6     0.720828 
    1.75239e-6     0.691112 
    1.89271e-6     0.665166 
    2.08772e-6     0.633001 
    2.28682e-6     0.605204 
    2.45275e-6     0.584276 
    2.70547e-6     0.556107 
    2.94272e-6     0.533356 
    3.17835e-6     0.513187 
    3.48145e-6     0.490308 
    3.78675e-6     0.470136 
    4.14767e-6     0.449177 
    4.51138e-6     0.430698 
    4.62344e-6     0.426036 
    4.63554e-6     0.427291 
    4.64366e-6     0.430611 
    4.64776e-6     0.433948 
    4.65185e-6     0.439177 
    4.65594e-6     0.447211 
    4.65901e-6     0.455845 
    4.66207e-6     0.467519 
    4.66412e-6      0.47745 
    4.66616e-6      0.48949 
    4.66821e-6      0.50404 
    4.67026e-6     0.521568 
     4.6723e-6     0.542616 
    4.67384e-6     0.561087 
    4.67537e-6     0.582189 
     4.6769e-6     0.606256 
    4.67844e-6     0.633658 
    4.67997e-6     0.664803 
    4.68151e-6     0.700143 
    4.68304e-6     0.740175 
    4.68457e-6     0.785445 
    4.68611e-6     0.836553 
    4.68764e-6     0.894155 
    4.68918e-6     0.958968 
    4.69071e-6      1.03177 
    4.69225e-6      1.11342 
    4.69378e-6      1.20482 
     4.6948e-6      1.27167 
    4.69582e-6      1.34361 
    4.69685e-6      1.42098 
    4.69787e-6      1.50413 
    4.69889e-6      1.59341 
    4.69992e-6      1.68922 
    4.70094e-6      1.79195 
    4.70196e-6      1.90202 
    4.70298e-6      2.01987 
    4.70401e-6      2.14596 
    4.70503e-6      2.28077 
    4.70607e-6      2.42689 
     4.7071e-6      2.58302 
    4.70814e-6      2.74972 
    4.70918e-6      2.92758 
    4.71022e-6      3.11719 
    4.71177e-6      3.42504 
    4.71333e-6      3.76296 
    4.71488e-6      4.13327 
