#ZVView-data-copy:  21-Dec-2022 12:59:13
#=======================================
#
#name:   TENDL-2021: HO-166(N,G)HO-167
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  6402
#data...
#            X            Y
#          MeV        barns
         1e-11       167629 
   1.10304e-11       159608 
   1.21669e-11       151971 
   1.34206e-11       144699 
   1.48034e-11       137776 
   1.63287e-11       131183 
   1.80111e-11       124906 
   1.98669e-11       118930 
   2.19139e-11       113239 
   2.41719e-11       107821 
   2.66625e-11       102662 
   2.94097e-11      97749.5 
     3.244e-11      93072.4 
   3.57825e-11      88619.1 
   3.94694e-11        84379 
   4.35362e-11      80341.8 
   4.80221e-11      76497.7 
   5.29701e-11      72837.6 
    5.8428e-11      69352.7 
   6.44483e-11      66034.6 
   7.10888e-11      62875.2 
   7.84136e-11      59867.1 
   8.64931e-11      57002.9 
   9.54051e-11      54275.8 
   1.05235e-10      51679.2 
   1.16078e-10      49206.9 
   1.28039e-10        46853 
   1.41231e-10      44611.7 
   1.55784e-10      42477.7 
   1.71835e-10      40445.8 
    1.8954e-10      38511.2 
    2.0907e-10      36669.2 
   2.30612e-10      34915.4 
   2.54374e-10      33245.5 
   2.80584e-10      31655.6 
   3.09494e-10      30141.9 
   3.41383e-10      28700.6 
   3.76558e-10      27328.3 
   4.15358e-10      26021.8 
   4.58155e-10      24777.8 
   5.05362e-10      23593.4 
   5.57433e-10      22465.7 
   6.14869e-10      21392.1 
   6.78223e-10      20369.9 
   7.48105e-10      19396.7 
   8.25188e-10      18470.2 
   9.10213e-10      17588.1 
      1.004e-9      16748.2 
    1.10745e-9      15948.7 
    1.22155e-9      15187.5 
    1.34742e-9      14462.8 
    1.48625e-9      13772.9 
    1.63939e-9      13116.1 
    1.80831e-9      12490.8 
    1.99463e-9      11895.6 
    2.20016e-9      11329.1 
    2.42685e-9      10789.7 
    2.67691e-9      10276.3 
    2.95273e-9      9787.63 
    3.25697e-9      9322.49 
    3.59256e-9      8879.78 
    3.96272e-9      8458.44 
    4.37103e-9      8057.47 
    4.82141e-9       7675.9 
    5.31819e-9      7312.83 
    5.86616e-9      6967.36 
    6.47059e-9      6638.65 
     7.1373e-9      6325.89 
    7.87271e-9      6028.29 
    8.68389e-9      5745.16 
    9.57865e-9      5475.82 
    1.05656e-8      5219.67 
    1.16543e-8      4976.06 
    1.28551e-8      4744.42 
    1.41796e-8      4524.22 
    1.56406e-8      4314.91 
    1.72522e-8         4116 
    1.90298e-8      3927.01 
    2.09906e-8      3747.49 
    2.33167e-8      3565.12 
    2.52419e-8      3434.05 
       2.53e-8      3430.33 
    2.81037e-8      3265.25 
    3.12166e-8      3109.32 
    3.46759e-8      2961.96 
    3.85167e-8      2822.94 
    4.27851e-8      2691.74 
    4.75241e-8      2568.16 
    5.27906e-8      2451.75 
    5.86379e-8      2342.34 
     6.5136e-8      2239.54 
    7.23507e-8      2143.21 
    8.03684e-8      2053.04 
    8.92703e-8      1968.93 
     9.9163e-8      1890.61 
    1.10147e-7      1818.05 
    1.22353e-7      1751.07 
    1.36864e-7      1685.75 
    1.53096e-7      1626.73 
    1.71253e-7      1574.07 
    1.91563e-7      1527.89 
    2.14282e-7      1488.43 
    2.39696e-7      1456.09 
    2.68123e-7      1431.35 
    2.99923e-7      1415.27 
    3.35493e-7      1408.65 
    3.37843e-7      1408.61 
     3.7765e-7      1413.98 
    4.16562e-7      1429.86 
    4.59483e-7      1458.55 
    5.03277e-7      1499.48 
    5.43602e-7      1547.65 
    5.83046e-7      1604.93 
    6.25352e-7       1678.4 
    6.66029e-7      1761.64 
    7.04418e-7      1853.66 
    7.39837e-7      1951.47 
    7.71594e-7      2051.11 
    8.04714e-7      2168.77 
    8.33377e-7      2283.61 
    8.63104e-7      2417.42 
    8.93847e-7      2573.51 
    9.19246e-7      2718.51 
    9.45367e-7      2885.36 
     9.7223e-7      3078.19 
    9.92901e-7      3243.11 
    1.01396e-6      3428.24 
    1.03552e-6      3638.52 
    1.05749e-6      3877.51 
    1.07997e-6      4151.93 
    1.09521e-6      4357.51 
    1.11066e-6      4584.35 
    1.12633e-6      4835.54 
    1.14222e-6      5114.84 
    1.15833e-6      5426.79 
    1.17467e-6      5776.75 
    1.19125e-6      6171.22 
    1.20805e-6      6618.29 
    1.22081e-6      6993.82 
    1.23368e-6         7409 
    1.24673e-6         7872 
    1.25991e-6      8388.23 
    1.27321e-6       8966.6 
    1.28663e-6      9617.83 
    1.30025e-6      10358.5 
    1.30939e-6      10907.7 
    1.31859e-6      11508.6 
    1.32786e-6      12167.9 
    1.33719e-6      12893.7 
    1.34659e-6      13695.5 
    1.35606e-6      14584.4 
    1.36559e-6      15573.8 
    1.37519e-6      16679.5 
    1.38486e-6      17920.8 
    1.39216e-6      18955.5 
    1.39946e-6      20085.2 
    1.40686e-6      21340.1 
    1.41427e-6      22719.3 
    1.42171e-6      24247.2 
    1.42922e-6      25954.3 
    1.43672e-6      27851.2 
     1.4443e-6      29987.7 
    1.44938e-6      31560.5 
    1.45446e-6      33261.1 
    1.45953e-6      35103.4 
    1.46468e-6      37132.7 
    1.46983e-6      39342.5 
    1.47498e-6      41754.3 
    1.48012e-6      44392.3 
    1.48534e-6      47327.1 
    1.49056e-6      50556.7 
    1.49578e-6      54119.4 
      1.501e-6        58059 
    1.50582e-6      62074.5 
    1.51064e-6      66499.3 
    1.51546e-6      71384.4 
    1.52028e-6      76786.7 
    1.52485e-6      82436.9 
    1.52941e-6      88666.2 
    1.53398e-6      95537.5 
    1.53854e-6       103117 
    1.54234e-6       110024 
    1.54615e-6       117508 
    1.54995e-6       125606 
    1.55376e-6       134352 
    1.55756e-6       143770 
    1.56136e-6       153877 
    1.56643e-6       168430 
    1.57151e-6       184174 
    1.57658e-6       201000 
    1.58468e-6       229626 
    1.59582e-6       270124 
    1.60139e-6       289432 
    1.60704e-6       307288 
    1.61128e-6       319015 
    1.61551e-6       328920 
    1.61975e-6       336686 
    1.62398e-6       342054 
    1.62753e-6       344566 
    1.63107e-6       345207 
    1.63487e-6       343802 
    1.63893e-6       339943 
      1.643e-6       333770 
    1.64706e-6       325476 
    1.65113e-6       315310 
     1.6555e-6       302636 
    1.65987e-6       288530 
    1.66569e-6       268194 
    1.68166e-6       210078 
    1.68649e-6       193392 
    1.69132e-6       177576 
    1.69627e-6       162410 
    1.70134e-6       148060 
    1.70514e-6       138107 
    1.70895e-6       128840 
    1.71275e-6       120241 
    1.71655e-6       112282 
    1.72036e-6       104932 
    1.72416e-6      98152.1 
    1.72796e-6      91904.8 
    1.73177e-6        86151 
    1.73557e-6      80852.4 
    1.73938e-6      75972.1 
    1.74318e-6      71475.1 
    1.74698e-6      67328.6 
    1.75079e-6      63502.2 
    1.75459e-6      59967.7 
    1.75923e-6      56013.1 
    1.76387e-6      52412.6 
    1.76851e-6      49128.7 
    1.77316e-6        46128 
     1.7778e-6      43380.7 
    1.78248e-6      40838.1 
    1.78719e-6      38492.8 
     1.7919e-6      36335.9 
     1.7966e-6      34348.5 
    1.80131e-6        32514 
    1.80763e-6      30265.7 
    1.81399e-6        28222 
    1.82036e-6      26372.3 
